iter	RMSE
0	6129.33883
1	5918.766595
2	5700.75131
3	5497.253607
4	5307.241746
5	5126.871548
6	4950.344822
7	4791.591028
8	4643.323265
9	4491.688599
10	4357.677278
11	4234.407696
12	4108.629714
13	3992.405766
14	3872.798342
15	3760.203001
16	3648.188261
17	3546.201966
18	3446.863003
19	3353.620166
20	3270.574333
21	3189.291618
22	3109.912871
23	3027.706882
24	2961.887772
25	2894.52512
26	2829.686567
27	2764.077186
28	2703.061291
29	2641.007193
30	2588.022938
31	2537.31117
32	2496.083092
33	2450.532251
34	2405.753264
35	2362.989975
36	2323.596084
37	2287.223129
38	2249.15359
39	2210.943007
40	2172.924512
41	2138.957522
42	2105.244874
43	2072.726939
44	2045.166411
45	2013.738132
46	1985.532543
47	1963.079116
48	1942.408393
49	1917.956103
50	1895.428475
51	1877.387557
52	1855.810928
53	1836.250007
54	1818.705189
55	1803.264256
56	1786.593891
57	1769.301105
58	1756.31163
59	1740.173324
60	1727.85627
61	1714.140714
62	1700.736212
63	1688.309008
64	1673.97927
65	1661.858396
66	1652.509683
67	1643.723111
68	1633.760439
69	1622.961247
70	1612.843122
71	1603.15343
72	1595.062342
73	1586.015768
74	1577.714296
75	1571.288935
76	1564.082357
77	1557.420198
78	1550.098362
79	1544.170546
80	1538.41438
81	1533.678252
82	1528.280038
83	1523.926984
84	1518.426097
85	1512.992197
86	1506.905028
87	1501.943965
88	1497.660996
89	1491.287269
90	1486.718248
91	1482.488865
92	1479.059275
93	1478.475758
94	1472.504268
95	1469.010468
96	1468.452932
97	1467.314685
98	1463.164428
99	1460.729818
100	1454.711676
101	1450.121433
102	1447.298915
103	1445.198739
104	1440.53431
105	1437.896147
106	1435.306681
107	1433.274931
108	1430.942408
109	1427.933741
110	1424.194112
111	1420.399326
112	1418.330272
113	1417.673733
114	1415.128729
115	1412.764039
116	1409.226
117	1405.747909
118	1402.576043
119	1400.334126
120	1396.507622
121	1394.575417
122	1391.806023
123	1386.993437
124	1384.513727
125	1382.755457
126	1381.777785
127	1381.558352
128	1378.687186
129	1376.951218
130	1375.639112
131	1372.927122
132	1370.302928
133	1368.213069
134	1364.873879
135	1363.403938
136	1360.959717
137	1359.005341
138	1354.720356
139	1353.207181
140	1351.330876
141	1350.310083
142	1347.925894
143	1346.389107
144	1344.986535
145	1342.141168
146	1339.361658
147	1336.940523
148	1335.339102
149	1333.215468
150	1331.458782
151	1329.928405
152	1328.587089
153	1325.773649
154	1323.816912
155	1323.031094
156	1321.342043
157	1320.207121
158	1318.731365
159	1316.2749
160	1313.753061
161	1312.572491
162	1311.002976
163	1308.609794
164	1305.921538
165	1304.210178
166	1302.28607
167	1297.572757
168	1296.677238
169	1294.685527
170	1292.189679
171	1291.560067
172	1289.822215
173	1289.019096
174	1286.748966
175	1285.277415
176	1283.137302
177	1282.2558
178	1280.417847
179	1279.873898
180	1275.910306
181	1274.036439
182	1272.65394
183	1269.519587
184	1268.415247
185	1266.817896
186	1263.845381
187	1262.628299
188	1261.995395
189	1261.238333
190	1260.602813
191	1258.584266
192	1257.289402
193	1256.491005
194	1254.655654
195	1254.205005
196	1251.654418
197	1250.9221
198	1249.835292
199	1248.385763
200	1247.862964
201	1246.621558
202	1245.924034
203	1244.822811
204	1242.938762
205	1238.508486
206	1235.177868
207	1234.476732
208	1233.774374
209	1232.397399
210	1230.260628
211	1229.366328
212	1227.930769
213	1227.075039
214	1223.543339
215	1222.954998
216	1221.470995
217	1220.314068
218	1215.886364
219	1215.293615
220	1214.793427
221	1214.205861
222	1213.500963
223	1209.463314
224	1208.848653
225	1206.738547
226	1204.511595
227	1203.201552
228	1201.997247
229	1201.531133
230	1200.055324
231	1198.690718
232	1197.290524
233	1195.29183
234	1194.026629
235	1193.363578
236	1190.751308
237	1190.219835
238	1189.881359
239	1189.442517
240	1187.880105
241	1186.403602
242	1185.371243
243	1183.799976
244	1181.654941
245	1180.652212
246	1179.95632
247	1177.934517
248	1177.16573
249	1175.374869
250	1174.994748
251	1171.455414
252	1170.466299
253	1169.82581
254	1168.786143
255	1167.14172
256	1166.567346
257	1166.044584
258	1165.104202
259	1161.851933
260	1160.275105
261	1158.525908
262	1156.914054
263	1155.521046
264	1154.176644
265	1152.538432
266	1149.448528
267	1148.608765
268	1145.008016
269	1144.599405
270	1142.986757
271	1142.570028
272	1139.882979
273	1138.485419
274	1137.199963
275	1136.189687
276	1134.39972
277	1133.566087
278	1132.617073
279	1132.216547
280	1131.356623
281	1130.498937
282	1129.852189
283	1129.386962
284	1128.950622
285	1127.807173
286	1127.276299
287	1126.903707
288	1126.085463
289	1124.941133
290	1124.534508
291	1123.216139
292	1121.042578
293	1120.515316
294	1119.531026
295	1117.244985
296	1115.603395
297	1115.28322
298	1114.098813
299	1113.053533
300	1112.432564
301	1111.943642
302	1110.042047
303	1107.629799
304	1105.961699
305	1103.952866
306	1103.149011
307	1102.460883
308	1101.416537
309	1100.469325
310	1099.325699
311	1099.011503
312	1097.200587
313	1096.722305
314	1096.073016
315	1095.047882
316	1093.697169
317	1093.31068
318	1092.880458
319	1091.902409
320	1091.092888
321	1090.231967
322	1089.265044
323	1088.372505
324	1087.502522
325	1085.913085
326	1085.503281
327	1083.699816
328	1082.83578
329	1082.438797
330	1081.6006
331	1079.944616
332	1079.129509
333	1078.28451
334	1077.444109
335	1076.212013
336	1075.36939
337	1075.119406
338	1074.71791
339	1074.344218
340	1073.8858
341	1073.59209
342	1072.494335
343	1071.365695
344	1070.107237
345	1069.105646
346	1068.35687
347	1067.242614
348	1065.533464
349	1064.880705
350	1062.860251
351	1062.13798
352	1061.093756
353	1060.828254
354	1059.54853
355	1058.599714
356	1057.846956
357	1057.507125
358	1056.443787
359	1054.822641
360	1053.592485
361	1052.792977
362	1051.875213
363	1051.057046
364	1050.292271
365	1049.847714
366	1049.677102
367	1049.34559
368	1048.418651
369	1047.849887
370	1046.883057
371	1046.122497
372	1045.665882
373	1044.116685
374	1043.368487
375	1042.627426
376	1041.971031
377	1041.066036
378	1040.757083
379	1039.942417
380	1039.711843
381	1039.143666
382	1037.735285
383	1036.729063
384	1036.104068
385	1035.45339
386	1034.746537
387	1033.72448
388	1033.311576
389	1032.470688
390	1031.850001
391	1030.721849
392	1030.210808
393	1029.199352
394	1028.973554
395	1028.243873
396	1027.447018
397	1027.23124
398	1026.556645
399	1026.251181
400	1026.049589
401	1025.079181
402	1024.274429
403	1023.879949
404	1023.312644
405	1022.591519
406	1022.254082
407	1021.50446
408	1021.224305
409	1020.438033
410	1019.767276
411	1019.214179
412	1018.537139
413	1017.784662
414	1016.872704
415	1016.372026
416	1015.182968
417	1013.866142
418	1012.624814
419	1012.147235
420	1010.966796
421	1010.749969
422	1009.863312
423	1009.585494
424	1008.858375
425	1008.387137
426	1007.701486
427	1007.210339
428	1006.549083
429	1006.10335
430	1005.627826
431	1005.470214
432	1004.966778
433	1004.024338
434	1003.314185
435	1003.095747
436	1002.8598
437	1002.339254
438	1002.136614
439	1001.038753
440	1000.903063
441	1000.300621
442	999.3028764
443	999.1539346
444	998.4298063
445	997.8645207
446	997.1337823
447	996.7108923
448	995.8932024
449	995.375259
450	994.8617337
451	994.4083087
452	994.0853665
453	993.9498219
454	993.2145382
455	992.9808999
456	992.8517095
457	992.7517691
458	992.0211287
459	990.8784222
460	989.4837743
461	989.329514
462	988.8749739
463	988.3470552
464	987.5626485
465	987.1150978
466	986.9137547
467	986.2888489
468	984.9158608
469	984.5487075
470	984.1898594
471	983.6139977
472	982.9144905
473	982.4407532
474	982.091425
475	981.8140908
476	981.2251503
477	980.3055353
478	979.7858306
479	979.3327381
480	979.1695232
481	979.0259623
482	978.6909702
483	978.0513303
484	976.8939694
485	976.4473155
486	975.6203766
487	975.2914657
488	975.1200032
489	974.5227855
490	973.8708075
491	973.2063969
492	973.0551474
493	972.7428304
494	972.6230141
495	972.1195487
496	971.8691531
497	971.6071564
498	970.8522242
499	970.4078302
500	969.5533422
501	969.1402376
502	968.5486856
503	968.3119963
504	967.7142237
505	967.1811427
506	965.9798728
507	965.6495244
508	964.8355011
509	964.3400139
510	964.1341798
511	963.3932329
512	962.5804067
513	962.4314415
514	961.754965
515	961.4706046
516	960.957089
517	960.4556418
518	960.054474
519	959.6358899
520	959.497329
521	959.0693013
522	958.93678
523	958.4354254
524	958.102482
525	957.8720599
526	957.2956346
527	957.0404146
528	956.7167383
529	956.1981836
530	956.0091975
531	955.8658439
532	955.5908838
533	955.2085014
534	955.1330766
535	954.9658723
536	954.2891377
537	954.0502322
538	953.8930486
539	952.953728
540	952.7939194
541	952.526723
542	952.3673505
543	951.7491811
544	951.0257729
545	950.3667458
546	949.6059219
547	948.6219501
548	948.3543843
549	948.1162177
550	947.6480016
551	947.318716
552	946.7651624
553	946.038587
554	945.2872963
555	945.1118368
556	944.4623713
557	944.3555495
558	944.2089913
559	943.7096344
560	943.3704062
561	943.146119
562	942.6999133
563	942.4113493
564	941.5967256
565	941.1669294
566	940.9238912
567	940.453113
568	940.1091745
569	939.6139959
570	939.5139976
571	938.8383703
572	938.2943216
573	938.1449452
574	937.7693783
575	937.3496065
576	936.9546928
577	936.8648041
578	935.9390539
579	935.8063712
580	935.3892917
581	935.1834574
582	935.0755118
583	934.9615003
584	934.4168683
585	933.5213359
586	933.4216606
587	933.1488702
588	932.7393271
589	932.4299253
590	931.8839503
591	931.5036718
592	930.7089021
593	930.2758063
594	929.8589812
595	929.7998958
596	929.6585619
597	928.8199762
598	928.6463944
599	928.0937562
600	927.5973853
601	927.4881297
602	927.4181641
603	927.1579887
604	926.6871556
605	926.6205971
606	926.1201245
607	926.0005992
608	925.6450492
609	925.5176255
610	924.7925755
611	924.3443551
612	923.8799119
613	923.3955441
614	922.6238745
615	922.2585918
616	922.1558337
617	921.549762
618	921.4319501
619	920.7719857
620	920.4006735
621	919.9302879
622	919.6483944
623	919.3121534
624	918.9574511
625	918.3775789
626	917.6405575
627	917.5419025
628	916.9578704
629	916.6121434
630	916.270357
631	916.0576185
632	915.6567375
633	915.3974944
634	914.6295137
635	914.43755
636	914.0665572
637	913.7349124
638	913.2486987
639	912.8802031
640	912.5273662
641	912.0990868
642	911.5013135
643	911.2460417
644	910.8893073
645	910.6191398
646	910.2251769
647	909.8635877
648	909.4319443
649	909.0142617
650	908.640366
651	908.167112
652	907.949011
653	907.5727134
654	907.2614844
655	906.9500879
656	906.6236001
657	906.2650932
658	906.1320035
659	906.0690002
660	905.8517629
661	905.4644829
662	905.1528594
663	904.9931302
664	904.3745814
665	904.0712839
666	903.722917
667	903.4730777
668	903.3797109
669	903.2332813
670	903.0018035
671	902.7404694
672	902.1805015
673	901.7066889
674	901.4708648
675	901.1266339
676	901.0236574
677	900.7275897
678	900.2867483
679	900.2130427
680	899.6536422
681	899.2983686
682	898.6051089
683	897.8593603
684	897.7991558
685	897.2874162
686	897.0259597
687	896.8428775
688	896.714982
689	896.1207537
690	895.9532117
691	895.8682434
692	895.3922521
693	894.952739
694	894.5272891
695	894.1970055
696	894.0591077
697	894.0034596
698	893.8461818
699	893.7033013
700	893.5093055
701	893.2793623
702	893.0869613
703	892.6342876
704	892.2649097
705	891.9921742
706	891.5236679
707	891.067072
708	890.7884347
709	890.7275225
710	890.4628518
711	890.1807743
712	890.0275367
713	889.7899125
714	889.4585673
715	889.2245324
716	889.1489068
717	888.6757852
718	888.3037592
719	888.0342643
720	887.5411884
721	887.2038509
722	886.8937031
723	886.8371035
724	886.4474567
725	886.114141
726	885.743676
727	885.2807579
728	884.8919264
729	884.8149874
730	884.7826115
731	884.5047079
732	884.2658536
733	883.9619466
734	883.5771875
735	883.1548559
736	882.9857019
737	882.800211
738	882.4560306
739	882.1071637
740	882.0276352
741	881.8572094
742	881.4991214
743	881.3665676
